Timestamp,מסלול לימודים,באיזה סמסטר היית כשקיבלת את ההצעה?,ממוצע (נכון לתקופת חיפוש העבודה),האם ביקשו גיליון ציונים?,קורסי מפתח שעשית לפני הצעת העבודה,האם היה לך ניסיון לפני קבלת המשרה?,"שכר שעתי במשרת הסטודנט הראשונה (ש""ח לשעה)",האם התמקחת אחרי קבלת ההצעה?,חברה (נא לכתוב באנגלית את שם החברה),תחום המשרה,מין,טעם גלידה אהוב
16/08/2022 14:03:04,"מדמ""ח",6,94.3,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,כן,Microsoft,Backend,זכר,בייגלה מלוח - קרמל
16/08/2022 14:03:58,"מדמ""ח",4,83,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",פרויקטים אישיים משמעותיים,90,לא,Intel,Software Development,זכר,שוקולד בראוניס
16/08/2022 14:04:09,"מדמ""ח",6,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,110,לא,Intel,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 14:04:47,הנדסת מחשבים,7,81,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,90,לא,Intel,Validation/Testing,נקבה,וניל עוגיות
16/08/2022 14:05:49,"מדמ""ח",7,75,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,90,לא,CyberArk,Software Development,זכר,בצק עוגיות
16/08/2022 14:05:54,"מדמ""ח",6,,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,95,לא,,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 14:06:15,"מדמ""ח",3,88,כן,"מת""מ",ללא ניסיון כלל,88,לא,Intel,Software Development,נקבה,בצק עוגיות
16/08/2022 14:07:36,"מדמ""ח",3,96,כן,"מת""מ",ניסיון רלוונטי מהצבא,120,לא,Microsoft,Software Development,זכר,פיסטוק
16/08/2022 14:08:27,"מדמ""ח",6,85,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,120,לא,Mobileye,Software Development,זכר,וניל עוגיות
16/08/2022 14:08:46,"מדמ""ח",6,92,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,120,לא,Apple,Software Development,זכר,פיסטוק
16/08/2022 14:09:10,"מדמ""ח",4,87,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,לא,Intel,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 14:09:54,"מדמ""ח",5,90.5,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,85,כן,Rafael,Software Development,נקבה,שוקולד בראוניס
16/08/2022 14:11:09,הנדסת מחשבים,7,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,100,לא,Microsoft,Backend,זכר,בייגלה מלוח - קרמל
16/08/2022 14:11:09,"מדמ""ח",6,84,כן,"מת""מ, מבני נתונים, הפעלה",ללא ניסיון כלל,132,לא,Elbit,Embedded,זכר,שוקולד בראוניס
16/08/2022 14:11:32,הנדסת מחשבים,4,89,כן,"מבני נתונים, אלגו",ללא ניסיון כלל,115,לא,Amazon,Backend,זכר,בצק עוגיות
16/08/2022 14:11:52,"מדמ""ח",5,90.8,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,125,לא,Facebook,Backend,זכר,בייגלה מלוח - קרמל
16/08/2022 14:12:50,הנדסת מחשבים,5,84,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,110,לא,,,נקבה,פיסטוק
16/08/2022 14:13:48,"מדמ""ח",6,91,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,לא,Intel,,זכר,בצק עוגיות
16/08/2022 14:14:00,"מדמ""ח",4,90,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,100 + 50K RSU,לא,HABANA,Backend,זכר,שוקולד בראוניס
16/08/2022 14:16:00,"מדמ""ח",2,88,כן,"מת""מ",פרויקטים אישיים משמעותיים,100,לא,Apple,Embedded,זכר,בצק עוגיות
16/08/2022 14:16:05,"מדמ""ח",4,84,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,95,לא,Intel,Software Development,זכר,שוקולד בראוניס
16/08/2022 14:16:26,"מדמ""ח",4,88,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,90,לא,Intel,Frontend,מעדיף לא לציין / א-בינארי,פיסטוק
16/08/2022 14:16:47,"מדמ""ח",3,86,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,85,לא,Intel,Backend,זכר,בצק עוגיות
16/08/2022 14:18:02,"מדמ""ח",5,81.2,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,95,כן,Amazon,Validation/Testing,זכר,פיסטוק
16/08/2022 14:21:35,"מדמ""ח",6,80,כן,"מת""מ, מבני נתונים, הפעלה",ללא ניסיון כלל,90,לא,Elbit,Software Development,זכר,שוקולד בראוניס
16/08/2022 14:24:25,הנדסת מחשבים,6,85,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",פרויקטים אישיים משמעותיים,110,כן,IBM,Software Development,זכר,שוקולד בראוניס
16/08/2022 14:24:45,"מדמ""ח",3,94.4,לא,,פרויקטים אישיים משמעותיים,100,לא,Intel,Software Development,זכר,פיסטוק
16/08/2022 14:24:53,"מדמ""ח",5,89,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,לא,Apple,Devops,נקבה,בייגלה מלוח - קרמל
16/08/2022 14:28:01,"מדמ""ח",6,83,לא,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,,,Backend,נקבה,בייגלה מלוח - קרמל
16/08/2022 14:30:11,הנדסת מחשבים,7,76,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,85,לא,Rafael,Software Development,זכר,בצק עוגיות
16/08/2022 14:31:52,"מדמ""ח",4,79.9,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,70,כן,Rafael,Full Stack,נקבה,פיסטוק
16/08/2022 14:32:19,"מדמ""ח",8,"תואר שני, (סמסטר 8 כולל ראשון) ממוצע תואר ראשון 87",לא,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,140,לא,Bosch ,,נקבה,בייגלה מלוח - קרמל
16/08/2022 14:32:52,"מדמ""ח",5,92,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,115,לא,Amazon,Embedded,זכר,וניל עוגיות
16/08/2022 14:33:14,"מדמ""ח",4,83,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,כן,PTC,Software Development,זכר,
16/08/2022 14:36:13,"מדמ""ח",5,81.7,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,לא,PTC,Software Development,זכר,בצק עוגיות
16/08/2022 14:38:18,"מדמ""ח",7,76,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ניסיון רלוונטי מהצבא,95,לא,Elbit,Full Stack,זכר,בצק עוגיות
16/08/2022 14:43:43,"מדמ""ח",5,81,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,75,לא,Rafael,Embedded,זכר,וניל עוגיות
16/08/2022 14:45:26,"מדמ""ח",4,89,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,95,לא,Intel,Software Development,נקבה,בייגלה מלוח - קרמל
16/08/2022 14:51:06,"מדמ""ח",4,83,לא,"מת""מ, מבני נתונים, הפעלה, אלגו",,90,כן,,Backend,נקבה,בייגלה מלוח - קרמל
16/08/2022 14:56:40,"מדמ""ח",3,90,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,110,כן,IBM,Software Development,זכר,שוקולד בראוניס
16/08/2022 15:00:14,"מדמ""ח - מתמטיקה",6,90,כן,"מת""מ, מבני נתונים, אלגו",ללא ניסיון כלל,95,לא,Intel,Software Development,נקבה,בייגלה מלוח - קרמל
16/08/2022 15:10:01,"מדמ""ח",4,94.5,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,138,לא,Regatta Data,Software Development,זכר,פיסטוק
16/08/2022 15:12:36,"מדמ""ח",3,86,כן,"מת""מ",ללא ניסיון כלל,98,לא,Qualcomm ,Software Development,נקבה,שוקולד בראוניס
16/08/2022 15:16:54,"מדמ""ח",5,80.6,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,90,כן,Caja,Software Development,זכר,פיסטוק
16/08/2022 15:19:21,"מדמ""ח",6,87,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,105,לא,Camtek,Software Development,נקבה,וניל עוגיות
16/08/2022 15:27:07,הנדסת מחשבים,3,83,כן,"מת""מ",ללא ניסיון כלל,100,כן,Intel,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 15:39:14,"מדמ""ח",8,80,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,70,לא,NogaCS,Software Development,זכר,וניל עוגיות
16/08/2022 15:43:34,"מדמ""ח",4,90,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,115,לא,Apple,Devops,זכר,
16/08/2022 15:47:56,"מדמ""ח",5,91,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,לא,Intel,Software Development,זכר,בצק עוגיות
16/08/2022 16:02:26,"מדמ""ח",4,77,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,80.5,כן,Skf ai,Validation/Testing,זכר,בצק עוגיות
16/08/2022 16:26:31,"מדמ""ח",3,85,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,85,לא,Intel,Full Stack,זכר,בצק עוגיות
16/08/2022 16:26:42,"מדמ""ח",6,83,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,לא,Habana labs,Software Development,נקבה,שוקולד בראוניס
16/08/2022 16:29:29,"מדמ""ח",5,81,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,85,לא,Intel,Devops,זכר,בייגלה מלוח - קרמל
16/08/2022 16:42:34,"מדמ""ח",8,85,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,לא,Qualcomm ,Software Development,זכר,פיסטוק
16/08/2022 16:51:15,"מדמ""ח",6,76,לא,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",פרויקטים אישיים משמעותיים,80,לא,Amdocs,Software Development,מעדיף לא לציין / א-בינארי,פיסטוק
16/08/2022 16:52:12,"מדמ""ח",3,72,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,65,לא,Rafael,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 17:08:36,"מדמ""ח",4,77,כן,"מת""מ, מבני נתונים, אלגו",ללא ניסיון כלל,65,כן,Rafael,Software Development,נקבה,בייגלה מלוח - קרמל
16/08/2022 17:11:57,"מדמ""ח",3,87,לא,,ניסיון רלוונטי מהצבא,65,לא,,Validation/Testing,זכר,וניל עוגיות
16/08/2022 17:28:55,"מדמ""ח - מתמטיקה",4,96,כן,"מבני נתונים, אלגו",ללא ניסיון כלל,100,לא,StarkWare,Software Development,זכר,פיסטוק
16/08/2022 17:35:50,"מדמ""ח",4,88,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,120,לא,Mobileye,Software Development,נקבה,בייגלה מלוח - קרמל
16/08/2022 18:00:13,"מדמ""ח",3,81,כן,"מת""מ",פרויקטים אישיים משמעותיים,85,לא,Qualcomm,Devops,זכר,וניל עוגיות
16/08/2022 18:27:18,"מדמ""ח",4,78,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,90,לא,Intel,Software Development,נקבה,וניל עוגיות
16/08/2022 20:33:25,"מדמ""ח",6,84.1,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,180,לא,Facebook,Backend,זכר,שוקולד בראוניס
16/08/2022 20:43:41,"מדמ""ח",5,90,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,לא,,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 21:28:47,הנדסת מחשבים,6,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,20,לא,,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 21:31:37,"מדמ""ח",5,88,כן,"מת""מ, מבני נתונים",ניסיון רלוונטי מהצבא,120,לא,Intel,Software Development,נקבה,בצק עוגיות
16/08/2022 23:21:07,"מדמ""ח",,87,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,95,לא,Intel,Embedded,זכר,בצק עוגיות
16/08/2022 23:28:15,"מדמ""ח - מתמטיקה",4,92,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,110,לא,IBM,Software Development,זכר,שוקולד בראוניס
16/08/2022 23:47:38,"מדמ""ח",4,95,כן,"מת""מ",ללא ניסיון כלל,140,לא,Small Start Up,Software Development,זכר,פיסטוק
17/08/2022 00:04:57,"מדמ""ח",3,95.6,כן,"מת""מ",פרויקטים אישיים משמעותיים,120,לא,Cisco,Software Development,זכר,בצק עוגיות
17/08/2022 00:20:46,"מדמ""ח - מתמטיקה",2,70,לא,,ללא ניסיון כלל,40,לא,,,נקבה,בצק עוגיות
17/08/2022 00:26:57,"מדמ""ח",5,93.2,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,70,כן,Small start-up ,,זכר,
17/08/2022 00:41:12,"מדמ""ח",4,86,לא,"מת""מ, מבני נתונים, הפעלה",ניסיון רלוונטי מהצבא,87,לא,תעשיה צבאית,Backend,זכר,וניל עוגיות
17/08/2022 00:46:01,הנדסת מחשבים,6,75,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,85,לא,Intel,Software Development,זכר,בייגלה מלוח - קרמל
17/08/2022 00:54:42,"מדמ""ח",3,98.5,כן,"מת""מ",ללא ניסיון כלל,110,לא,,,זכר,בייגלה מלוח - קרמל
17/08/2022 02:43:09,"מדמ""ח",7,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,85,לא,Intel,Software Development,זכר,בצק עוגיות
17/08/2022 07:50:39,הנדסת מחשבים,4,85,כן,"מת""מ, מבני נתונים, אלגו",ללא ניסיון כלל,90,לא,Intel,Validation/Testing,נקבה,בייגלה מלוח - קרמל
17/08/2022 09:59:56,"מדמ""ח",5,84,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,105,,Nvidia,Validation/Testing,נקבה,וניל עוגיות
17/08/2022 10:12:19,"מדמ""ח",3,94,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,170,לא,Facebook,Full Stack,זכר,בצק עוגיות
17/08/2022 12:27:11,"מדמ""ח",3,84,כן,"מת""מ",פרויקטים אישיים משמעותיים,73,לא,Intel,Software Development,זכר,
17/08/2022 12:39:58,"מדמ""ח",3,76,לא,"מת""מ",פרויקטים אישיים משמעותיים,75,לא,,Backend,זכר,שוקולד בראוניס
17/08/2022 13:24:46,"מדמ""ח",5,85,כן,"מת""מ",ללא ניסיון כלל,75,כן,Rafael,firmware,זכר,בייגלה מלוח - קרמל